,0,text,polarity,subjectivity,sentiment,neg,neu,pos,compound,text_len,text_word_count,punct,tokenized,nonstop,stemmed
2486,"RT @JSvasan: While ignoring the fact that a vaccinated person could still be a carier, @narendramodi's pointed maskless appearance with hug…", while ignoring the fact that a vaccinated person could still be a carier    s pointed maskless appearance with hug ,0.0,0.0,positive,0.136,0.707,0.157,0.1027,116,19, while ignoring the fact that a vaccinated person could still be a carier    s pointed maskless appearance with hug ,"['', 'while', 'ignoring', 'the', 'fact', 'that', 'a', 'vaccinated', 'person', 'could', 'still', 'be', 'a', 'carier', 's', 'pointed', 'maskless', 'appearance', 'with', 'hug', '']","['', 'ignoring', 'fact', 'vaccinated', 'person', 'could', 'still', 'carier', 'pointed', 'maskless', 'appearance', 'hug', '']","['', 'ignor', 'fact', 'vaccin', 'person', 'could', 'still', 'carier', 'point', 'maskless', 'appear', 'hug', '']"
2487,"RT @WHO: The Technical Advisory Group, convened by WHO and made up of regulatory experts from around the world, has determined that the #Co…", the technical advisory group  convened by who and made up of regulatory experts from around the world  has determined that the  co ,0.0,0.1,positive,0.0,0.897,0.103,0.34,132,22, the technical advisory group  convened by who and made up of regulatory experts from around the world  has determined that the  co ,"['', 'the', 'technical', 'advisory', 'group', 'convened', 'by', 'who', 'and', 'made', 'up', 'of', 'regulatory', 'experts', 'from', 'around', 'the', 'world', 'has', 'determined', 'that', 'the', 'co', '']","['', 'technical', 'advisory', 'group', 'convened', 'made', 'regulatory', 'experts', 'around', 'world', 'determined', 'co', '']","['', 'technic', 'advisori', 'group', 'conven', 'made', 'regulatori', 'expert', 'around', 'world', 'determin', 'co', '']"
2488,RT @SatlokChannel: The #COVAXIN vaccine has been approved by WHO for emergency use on Wednesday 3rd November 2021. The approval came after…, the  covaxin vaccine has been approved by who for emergency use on wednesday 3rd november 2021  the approval came after ,0.0,0.0,positive,0.102,0.667,0.231,0.5106,121,20, the  covaxin vaccine has been approved by who for emergency use on wednesday rd november   the approval came after ,"['', 'the', 'covaxin', 'vaccine', 'has', 'been', 'approved', 'by', 'who', 'for', 'emergency', 'use', 'on', 'wednesday', 'rd', 'november', 'the', 'approval', 'came', 'after', '']","['', 'covaxin', 'vaccine', 'approved', 'emergency', 'use', 'wednesday', 'rd', 'november', 'approval', 'came', '']","['', 'covaxin', 'vaccin', 'approv', 'emerg', 'use', 'wednesday', 'rd', 'novemb', 'approv', 'came', '']"
2489,"RT @WHO: 🆕 WHO has granted emergency use listing (EUL) to #COVAXIN® (developed by Bharat Biotech), adding to a growing portfolio of vaccine…",   who has granted emergency use listing  eul  to  covaxin   developed by bharat biotech   adding to a growing portfolio of vaccine ,0.1,0.3,positive,0.117,0.717,0.166,0.0258,132,20,   who has granted emergency use listing  eul  to  covaxin   developed by bharat biotech   adding to a growing portfolio of vaccine ,"['', 'who', 'has', 'granted', 'emergency', 'use', 'listing', 'eul', 'to', 'covaxin', 'developed', 'by', 'bharat', 'biotech', 'adding', 'to', 'a', 'growing', 'portfolio', 'of', 'vaccine', '']","['', 'granted', 'emergency', 'use', 'listing', 'eul', 'covaxin', 'developed', 'bharat', 'biotech', 'adding', 'growing', 'portfolio', 'vaccine', '']","['', 'grant', 'emerg', 'use', 'list', 'eul', 'covaxin', 'develop', 'bharat', 'biotech', 'ad', 'grow', 'portfolio', 'vaccin', '']"
2490,RT @SatlokChannel: The #COVAXIN vaccine has been approved by WHO for emergency use on Wednesday 3rd November 2021. The approval came after…, the  covaxin vaccine has been approved by who for emergency use on wednesday 3rd november 2021  the approval came after ,0.0,0.0,positive,0.102,0.667,0.231,0.5106,121,20, the  covaxin vaccine has been approved by who for emergency use on wednesday rd november   the approval came after ,"['', 'the', 'covaxin', 'vaccine', 'has', 'been', 'approved', 'by', 'who', 'for', 'emergency', 'use', 'on', 'wednesday', 'rd', 'november', 'the', 'approval', 'came', 'after', '']","['', 'covaxin', 'vaccine', 'approved', 'emergency', 'use', 'wednesday', 'rd', 'november', 'approval', 'came', '']","['', 'covaxin', 'vaccin', 'approv', 'emerg', 'use', 'wednesday', 'rd', 'novemb', 'approv', 'came', '']"
2491,"RT @DilipSaikia4Bjp: Congratulation India!

Bharat Biotech’s #COVAXIN has been approved for emergency use by @WHO. 

A great acknowledgemen…", congratulation india   bharat biotech s  covaxin has been approved for emergency use by      a great acknowledgemen ,0.8,0.75,positive,0.111,0.427,0.462,0.8481,117,16, congratulation india   bharat biotech s  covaxin has been approved for emergency use by      a great acknowledgemen ,"['', 'congratulation', 'india', 'bharat', 'biotech', 's', 'covaxin', 'has', 'been', 'approved', 'for', 'emergency', 'use', 'by', 'a', 'great', 'acknowledgemen', '']","['', 'congratulation', 'india', 'bharat', 'biotech', 'covaxin', 'approved', 'emergency', 'use', 'great', 'acknowledgemen', '']","['', 'congratul', 'india', 'bharat', 'biotech', 'covaxin', 'approv', 'emerg', 'use', 'great', 'acknowledgemen', '']"
2492,RT @SatlokChannel: The #COVAXIN vaccine has been approved by WHO for emergency use on Wednesday 3rd November 2021. The approval came after…, the  covaxin vaccine has been approved by who for emergency use on wednesday 3rd november 2021  the approval came after ,0.0,0.0,positive,0.102,0.667,0.231,0.5106,121,20, the  covaxin vaccine has been approved by who for emergency use on wednesday rd november   the approval came after ,"['', 'the', 'covaxin', 'vaccine', 'has', 'been', 'approved', 'by', 'who', 'for', 'emergency', 'use', 'on', 'wednesday', 'rd', 'november', 'the', 'approval', 'came', 'after', '']","['', 'covaxin', 'vaccine', 'approved', 'emergency', 'use', 'wednesday', 'rd', 'november', 'approval', 'came', '']","['', 'covaxin', 'vaccin', 'approv', 'emerg', 'use', 'wednesday', 'rd', 'novemb', 'approv', 'came', '']"
2493,RT @nitin_gadkari: WHO has approved India's indigenously developed #covaxin for emergency use. It is a tacit approval of PM Shri @narendram…, who has approved india s indigenously developed  covaxin for emergency use  it is a tacit approval of pm shri   ,0.1,0.3,positive,0.116,0.622,0.262,0.5106,113,19, who has approved india s indigenously developed  covaxin for emergency use  it is a tacit approval of pm shri   ,"['', 'who', 'has', 'approved', 'india', 's', 'indigenously', 'developed', 'covaxin', 'for', 'emergency', 'use', 'it', 'is', 'a', 'tacit', 'approval', 'of', 'pm', 'shri', '']","['', 'approved', 'india', 'indigenously', 'developed', 'covaxin', 'emergency', 'use', 'tacit', 'approval', 'pm', 'shri', '']","['', 'approv', 'india', 'indigen', 'develop', 'covaxin', 'emerg', 'use', 'tacit', 'approv', 'pm', 'shri', '']"
2494,@WIONews Buy #Covaxin from  #India. It's safe and very effective.,  buy  covaxin from   india  it s safe and very effective ,0.64,0.75,positive,0.0,0.527,0.473,0.7425,58,10,  buy  covaxin from   india  it s safe and very effective ,"['', 'buy', 'covaxin', 'from', 'india', 'it', 's', 'safe', 'and', 'very', 'effective', '']","['', 'buy', 'covaxin', 'india', 'safe', 'effective', '']","['', 'buy', 'covaxin', 'india', 'safe', 'effect', '']"
2495,"RT @aniket0608: Now this is WHO's assessment on #COVAXIN data.
Compare this to *coughs* Chindipharm's assessment. https://t.co/PCw4qsrWJA", now this is who s assessment on  covaxin data  compare this to  coughs  chindipharm s assessment   ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,100,16, now this is who s assessment on  covaxin data  compare this to  coughs  chindipharm s assessment   ,"['', 'now', 'this', 'is', 'who', 's', 'assessment', 'on', 'covaxin', 'data', 'compare', 'this', 'to', 'coughs', 'chindipharm', 's', 'assessment', '']","['', 'assessment', 'covaxin', 'data', 'compare', 'coughs', 'chindipharm', 'assessment', '']","['', 'assess', 'covaxin', 'data', 'compar', 'cough', 'chindipharm', 'assess', '']"
