,0,text,polarity,subjectivity,sentiment,neg,neu,pos,compound,text_len,text_word_count,punct,tokenized,nonstop,stemmed
0,RT @SatlokChannel: The #COVAXIN vaccine has been approved by WHO for emergency use on Wednesday 3rd November 2021. The approval came after…, the  covaxin vaccine has been approved by who for emergency use on wednesday 3rd november 2021  the approval came after ,0.0,0.0,positive,0.102,0.667,0.231,0.5106,121,20, the  covaxin vaccine has been approved by who for emergency use on wednesday rd november   the approval came after ,"['', 'the', 'covaxin', 'vaccine', 'has', 'been', 'approved', 'by', 'who', 'for', 'emergency', 'use', 'on', 'wednesday', 'rd', 'november', 'the', 'approval', 'came', 'after', '']","['', 'covaxin', 'vaccine', 'approved', 'emergency', 'use', 'wednesday', 'rd', 'november', 'approval', 'came', '']","['', 'covaxin', 'vaccin', 'approv', 'emerg', 'use', 'wednesday', 'rd', 'novemb', 'approv', 'came', '']"
1,"#Covaxin  approved by @WHO , the side effect was natural

Moderna 🔻18%
BioNTech 🔻18%
Merck &amp; Co 🔻9%
Novavax 🔻10%
Regeneron 🔻7%", covaxin  approved by     the side effect was natural  moderna  18  biontech  18  merck  amp  co  9  novavax  10  regeneron  7 ,0.1,0.4,positive,0.0,0.751,0.249,0.6486,127,20, covaxin  approved by     the side effect was natural  moderna    biontech    merck  amp  co    novavax    regeneron   ,"['', 'covaxin', 'approved', 'by', 'the', 'side', 'effect', 'was', 'natural', 'moderna', 'biontech', 'merck', 'amp', 'co', 'novavax', 'regeneron', '']","['', 'covaxin', 'approved', 'side', 'effect', 'natural', 'moderna', 'biontech', 'merck', 'amp', 'co', 'novavax', 'regeneron', '']","['', 'covaxin', 'approv', 'side', 'effect', 'natur', 'moderna', 'biontech', 'merck', 'amp', 'co', 'novavax', 'regeneron', '']"
2,"RT @B1llyTh2K3d: The next big drop of news will either be 

- Gov't funding to scale-up production in the US 

- Jubilant completing their…", the next big drop of news will either be     gov t funding to scale up production in the us     jubilant completing their ,0.0,0.05,positive,0.084,0.757,0.159,0.4404,123,22, the next big drop of news will either be     gov t funding to scale up production in the us     jubilant completing their ,"['', 'the', 'next', 'big', 'drop', 'of', 'news', 'will', 'either', 'be', 'gov', 't', 'funding', 'to', 'scale', 'up', 'production', 'in', 'the', 'us', 'jubilant', 'completing', 'their', '']","['', 'next', 'big', 'drop', 'news', 'either', 'gov', 'funding', 'scale', 'production', 'us', 'jubilant', 'completing', '']","['', 'next', 'big', 'drop', 'news', 'either', 'gov', 'fund', 'scale', 'product', 'us', 'jubil', 'complet', '']"
3,"#COVAXIN And all this time #OCUGEN working to bring life saving vaccine to USA, stock go down, when they should hav… https://t.co/2Ep60dY85K", covaxin and all this time  ocugen working to bring life saving vaccine to usa  stock go down  when they should hav   ,-0.15555555555555559,0.2888888888888889,neutral,0.0,1.0,0.0,0.0,118,21, covaxin and all this time  ocugen working to bring life saving vaccine to usa  stock go down  when they should hav   ,"['', 'covaxin', 'and', 'all', 'this', 'time', 'ocugen', 'working', 'to', 'bring', 'life', 'saving', 'vaccine', 'to', 'usa', 'stock', 'go', 'down', 'when', 'they', 'should', 'hav', '']","['', 'covaxin', 'time', 'ocugen', 'working', 'bring', 'life', 'saving', 'vaccine', 'usa', 'stock', 'go', 'hav', '']","['', 'covaxin', 'time', 'ocugen', 'work', 'bring', 'life', 'save', 'vaccin', 'usa', 'stock', 'go', 'hav', '']"
4,"RT @WHO: 🆕 WHO has granted emergency use listing (EUL) to #COVAXIN® (developed by Bharat Biotech), adding to a growing portfolio of vaccine…",   who has granted emergency use listing  eul  to  covaxin   developed by bharat biotech   adding to a growing portfolio of vaccine ,0.1,0.3,positive,0.117,0.717,0.166,0.0258,132,20,   who has granted emergency use listing  eul  to  covaxin   developed by bharat biotech   adding to a growing portfolio of vaccine ,"['', 'who', 'has', 'granted', 'emergency', 'use', 'listing', 'eul', 'to', 'covaxin', 'developed', 'by', 'bharat', 'biotech', 'adding', 'to', 'a', 'growing', 'portfolio', 'of', 'vaccine', '']","['', 'granted', 'emergency', 'use', 'listing', 'eul', 'covaxin', 'developed', 'bharat', 'biotech', 'adding', 'growing', 'portfolio', 'vaccine', '']","['', 'grant', 'emerg', 'use', 'list', 'eul', 'covaxin', 'develop', 'bharat', 'biotech', 'ad', 'grow', 'portfolio', 'vaccin', '']"
5,RT @MeghBulletin: Finland approves Bharat Biotech's #Covaxin, finland approves bharat biotech s  covaxin,0.0,0.0,positive,0.0,0.597,0.403,0.4019,43,6, finland approves bharat biotech s  covaxin,"['', 'finland', 'approves', 'bharat', 'biotech', 's', 'covaxin']","['', 'finland', 'approves', 'bharat', 'biotech', 'covaxin']","['', 'finland', 'approv', 'bharat', 'biotech', 'covaxin']"
6,RT @Dr_subhro: My thoughts on #covaxin approval by WHO in #TimesofIndia kolkata edition @rahulkanwal @Monideepa62 @peerless_info @Mike_Durk…, my thoughts on  covaxin approval by who in  timesofindia kolkata edition       info   durk ,0.0,0.0,positive,0.0,0.795,0.205,0.4767,92,13, my thoughts on  covaxin approval by who in  timesofindia kolkata edition       info   durk ,"['', 'my', 'thoughts', 'on', 'covaxin', 'approval', 'by', 'who', 'in', 'timesofindia', 'kolkata', 'edition', 'info', 'durk', '']","['', 'thoughts', 'covaxin', 'approval', 'timesofindia', 'kolkata', 'edition', 'info', 'durk', '']","['', 'thought', 'covaxin', 'approv', 'timesofindia', 'kolkata', 'edit', 'info', 'durk', '']"
7,It's a proud moment for our country. We've got approval for a made in India vaccine. Earlier India was a vaccine ma… https://t.co/0g6eeRFdX7,it s a proud moment for our country  we ve got approval for a made in india vaccine  earlier india was a vaccine ma   ,0.4,0.75,positive,0.0,0.744,0.256,0.7351,118,24,it s a proud moment for our country  we ve got approval for a made in india vaccine  earlier india was a vaccine ma   ,"['it', 's', 'a', 'proud', 'moment', 'for', 'our', 'country', 'we', 've', 'got', 'approval', 'for', 'a', 'made', 'in', 'india', 'vaccine', 'earlier', 'india', 'was', 'a', 'vaccine', 'ma', '']","['proud', 'moment', 'country', 'got', 'approval', 'made', 'india', 'vaccine', 'earlier', 'india', 'vaccine', '']","['proud', 'moment', 'countri', 'got', 'approv', 'made', 'india', 'vaccin', 'earlier', 'india', 'vaccin', '']"
8,RT @MeghBulletin: Finland approves Bharat Biotech's #Covaxin, finland approves bharat biotech s  covaxin,0.0,0.0,positive,0.0,0.597,0.403,0.4019,43,6, finland approves bharat biotech s  covaxin,"['', 'finland', 'approves', 'bharat', 'biotech', 's', 'covaxin']","['', 'finland', 'approves', 'bharat', 'biotech', 'covaxin']","['', 'finland', 'approv', 'bharat', 'biotech', 'covaxin']"
9,RT @MeghBulletin: Finland approves Bharat Biotech's #Covaxin, finland approves bharat biotech s  covaxin,0.0,0.0,positive,0.0,0.597,0.403,0.4019,43,6, finland approves bharat biotech s  covaxin,"['', 'finland', 'approves', 'bharat', 'biotech', 's', 'covaxin']","['', 'finland', 'approves', 'bharat', 'biotech', 'covaxin']","['', 'finland', 'approv', 'bharat', 'biotech', 'covaxin']"
10,RT @MeghBulletin: Finland approves Bharat Biotech's #Covaxin, finland approves bharat biotech s  covaxin,0.0,0.0,positive,0.0,0.597,0.403,0.4019,43,6, finland approves bharat biotech s  covaxin,"['', 'finland', 'approves', 'bharat', 'biotech', 's', 'covaxin']","['', 'finland', 'approves', 'bharat', 'biotech', 'covaxin']","['', 'finland', 'approv', 'bharat', 'biotech', 'covaxin']"
11,"RT @WHO: 🆕 WHO has granted emergency use listing (EUL) to #COVAXIN® (developed by Bharat Biotech), adding to a growing portfolio of vaccine…",   who has granted emergency use listing  eul  to  covaxin   developed by bharat biotech   adding to a growing portfolio of vaccine ,0.1,0.3,positive,0.117,0.717,0.166,0.0258,132,20,   who has granted emergency use listing  eul  to  covaxin   developed by bharat biotech   adding to a growing portfolio of vaccine ,"['', 'who', 'has', 'granted', 'emergency', 'use', 'listing', 'eul', 'to', 'covaxin', 'developed', 'by', 'bharat', 'biotech', 'adding', 'to', 'a', 'growing', 'portfolio', 'of', 'vaccine', '']","['', 'granted', 'emergency', 'use', 'listing', 'eul', 'covaxin', 'developed', 'bharat', 'biotech', 'adding', 'growing', 'portfolio', 'vaccine', '']","['', 'grant', 'emerg', 'use', 'list', 'eul', 'covaxin', 'develop', 'bharat', 'biotech', 'ad', 'grow', 'portfolio', 'vaccin', '']"
12,"RT @B1llyTh2K3d: @FullTimeDreamir @CoachMontes24 Should've emphasized the most key part. 

Where $OCGN currently is #COVAXIN https://t.co/7…",     should ve emphasized the most key part    where  ocgn currently is  covaxin  ,0.16666666666666666,0.6333333333333333,neutral,0.0,1.0,0.0,0.0,82,12,     should ve emphasized the most key part    where  ocgn currently is  covaxin  ,"['', 'should', 've', 'emphasized', 'the', 'most', 'key', 'part', 'where', 'ocgn', 'currently', 'is', 'covaxin', '']","['', 'emphasized', 'key', 'part', 'ocgn', 'currently', 'covaxin', '']","['', 'emphas', 'key', 'part', 'ocgn', 'current', 'covaxin', '']"
13,"RT @B1llyTh2K3d: @FullTimeDreamir @CoachMontes24 Should've emphasized the most key part. 

Where $OCGN currently is #COVAXIN https://t.co/7…",     should ve emphasized the most key part    where  ocgn currently is  covaxin  ,0.16666666666666666,0.6333333333333333,neutral,0.0,1.0,0.0,0.0,82,12,     should ve emphasized the most key part    where  ocgn currently is  covaxin  ,"['', 'should', 've', 'emphasized', 'the', 'most', 'key', 'part', 'where', 'ocgn', 'currently', 'is', 'covaxin', '']","['', 'emphasized', 'key', 'part', 'ocgn', 'currently', 'covaxin', '']","['', 'emphas', 'key', 'part', 'ocgn', 'current', 'covaxin', '']"
14,RT @mikalche: $OCGN I suspect we will have an FDA decision on EUA within 30days.  Pfizer applied nov20th and received dec11th Moderna submi…,  ocgn i suspect we will have an fda decision on eua within 30days   pfizer applied nov20th and received dec11th moderna submi ,0.0,0.0,negative,0.104,0.896,0.0,-0.296,127,21,  ocgn i suspect we will have an fda decision on eua within days   pfizer applied novth and received decth moderna submi ,"['', 'ocgn', 'i', 'suspect', 'we', 'will', 'have', 'an', 'fda', 'decision', 'on', 'eua', 'within', 'days', 'pfizer', 'applied', 'novth', 'and', 'received', 'decth', 'moderna', 'submi', '']","['', 'ocgn', 'suspect', 'fda', 'decision', 'eua', 'within', 'days', 'pfizer', 'applied', 'novth', 'received', 'decth', 'moderna', 'submi', '']","['', 'ocgn', 'suspect', 'fda', 'decis', 'eua', 'within', 'day', 'pfizer', 'appli', 'novth', 'receiv', 'decth', 'moderna', 'submi', '']"
15,"RT @BjpBiplab: The world recognises Hon'ble PM Shri @narendramodi’s vision of an #AtmanirbharBharat. 

@WHO approves emergency use of #COVA…", the world recognises hon ble pm shri   s vision of an  atmanirbharbharat      approves emergency use of  cova ,0.0,0.0,positive,0.128,0.64,0.232,0.2732,111,17, the world recognises hon ble pm shri   s vision of an  atmanirbharbharat      approves emergency use of  cova ,"['', 'the', 'world', 'recognises', 'hon', 'ble', 'pm', 'shri', 's', 'vision', 'of', 'an', 'atmanirbharbharat', 'approves', 'emergency', 'use', 'of', 'cova', '']","['', 'world', 'recognises', 'hon', 'ble', 'pm', 'shri', 'vision', 'atmanirbharbharat', 'approves', 'emergency', 'use', 'cova', '']","['', 'world', 'recognis', 'hon', 'ble', 'pm', 'shri', 'vision', 'atmanirbharbharat', 'approv', 'emerg', 'use', 'cova', '']"
16,"@FullTimeDreamir @CoachMontes24 Should've emphasized the most key part. 

Where $OCGN currently is #COVAXIN https://t.co/7kWLMH5I5B",    should ve emphasized the most key part    where  ocgn currently is  covaxin  ,0.16666666666666666,0.6333333333333333,neutral,0.0,1.0,0.0,0.0,81,12,    should ve emphasized the most key part    where  ocgn currently is  covaxin  ,"['', 'should', 've', 'emphasized', 'the', 'most', 'key', 'part', 'where', 'ocgn', 'currently', 'is', 'covaxin', '']","['', 'emphasized', 'key', 'part', 'ocgn', 'currently', 'covaxin', '']","['', 'emphas', 'key', 'part', 'ocgn', 'current', 'covaxin', '']"
17,"News Live: Proud moment for India, says AIIMS Director on #Covaxin EUL by #WHO https://t.co/hi3MUtGxh7",news live  proud moment for india  says aiims director on  covaxin eul by  who  ,0.4681818181818182,0.75,positive,0.0,0.807,0.193,0.4767,80,14,news live  proud moment for india  says aiims director on  covaxin eul by  who  ,"['news', 'live', 'proud', 'moment', 'for', 'india', 'says', 'aiims', 'director', 'on', 'covaxin', 'eul', 'by', 'who', '']","['news', 'live', 'proud', 'moment', 'india', 'says', 'aiims', 'director', 'covaxin', 'eul', '']","['news', 'live', 'proud', 'moment', 'india', 'say', 'aiim', 'director', 'covaxin', 'eul', '']"
18,"RT @B1llyTh2K3d: #COVAXIN 's going global. Period. 

Countries around the globe will have no choice but to procure it to donate to low- to…",  covaxin  s going global  period    countries around the globe will have no choice but to procure it to donate to low  to ,0.0,0.15,negative,0.183,0.817,0.0,-0.5023,123,22,  covaxin  s going global  period    countries around the globe will have no choice but to procure it to donate to low  to ,"['', 'covaxin', 's', 'going', 'global', 'period', 'countries', 'around', 'the', 'globe', 'will', 'have', 'no', 'choice', 'but', 'to', 'procure', 'it', 'to', 'donate', 'to', 'low', 'to', '']","['', 'covaxin', 'going', 'global', 'period', 'countries', 'around', 'globe', 'choice', 'procure', 'donate', 'low', '']","['', 'covaxin', 'go', 'global', 'period', 'countri', 'around', 'globe', 'choic', 'procur', 'donat', 'low', '']"
19,RT @MeghBulletin: Finland approves Bharat Biotech's #Covaxin, finland approves bharat biotech s  covaxin,0.0,0.0,positive,0.0,0.597,0.403,0.4019,43,6, finland approves bharat biotech s  covaxin,"['', 'finland', 'approves', 'bharat', 'biotech', 's', 'covaxin']","['', 'finland', 'approves', 'bharat', 'biotech', 'covaxin']","['', 'finland', 'approv', 'bharat', 'biotech', 'covaxin']"
20,RT @mikalche: @SquawkCNBC @ScottGottliebMD 🤣  #COVAXIN is the ONLY vaccine developed in delta covid era &amp; is the highest in safety. A whole…,         covaxin is the only vaccine developed in delta covid era  amp  is the highest in safety  a whole ,0.10000000000000002,0.5666666666666668,positive,0.0,0.851,0.149,0.4215,106,18,         covaxin is the only vaccine developed in delta covid era  amp  is the highest in safety  a whole ,"['', 'covaxin', 'is', 'the', 'only', 'vaccine', 'developed', 'in', 'delta', 'covid', 'era', 'amp', 'is', 'the', 'highest', 'in', 'safety', 'a', 'whole', '']","['', 'covaxin', 'vaccine', 'developed', 'delta', 'covid', 'era', 'amp', 'highest', 'safety', 'whole', '']","['', 'covaxin', 'vaccin', 'develop', 'delta', 'covid', 'era', 'amp', 'highest', 'safeti', 'whole', '']"
21,RT @SatlokChannel: The #COVAXIN vaccine has been approved by WHO for emergency use on Wednesday 3rd November 2021. The approval came after…, the  covaxin vaccine has been approved by who for emergency use on wednesday 3rd november 2021  the approval came after ,0.0,0.0,positive,0.102,0.667,0.231,0.5106,121,20, the  covaxin vaccine has been approved by who for emergency use on wednesday rd november   the approval came after ,"['', 'the', 'covaxin', 'vaccine', 'has', 'been', 'approved', 'by', 'who', 'for', 'emergency', 'use', 'on', 'wednesday', 'rd', 'november', 'the', 'approval', 'came', 'after', '']","['', 'covaxin', 'vaccine', 'approved', 'emergency', 'use', 'wednesday', 'rd', 'november', 'approval', 'came', '']","['', 'covaxin', 'vaccin', 'approv', 'emerg', 'use', 'wednesday', 'rd', 'novemb', 'approv', 'came', '']"
22,RT @GPatronic: $OCGN #Covaxin submits EUA request for COVID-19 vaccine candidate BBV152 to the ⁦@US_FDA⁩ . Now let’s see all 🐻 covering . h…,  ocgn  covaxin submits eua request for covid 19 vaccine candidate bbv152 to the    fda    now let s see all   covering   h ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,124,21,  ocgn  covaxin submits eua request for covid  vaccine candidate bbv to the    fda    now let s see all   covering   h ,"['', 'ocgn', 'covaxin', 'submits', 'eua', 'request', 'for', 'covid', 'vaccine', 'candidate', 'bbv', 'to', 'the', 'fda', 'now', 'let', 's', 'see', 'all', 'covering', 'h', '']","['', 'ocgn', 'covaxin', 'submits', 'eua', 'request', 'covid', 'vaccine', 'candidate', 'bbv', 'fda', 'let', 'see', 'covering', 'h', '']","['', 'ocgn', 'covaxin', 'submit', 'eua', 'request', 'covid', 'vaccin', 'candid', 'bbv', 'fda', 'let', 'see', 'cover', 'h', '']"
23,RT @MeghBulletin: Finland approves Bharat Biotech's #Covaxin, finland approves bharat biotech s  covaxin,0.0,0.0,positive,0.0,0.597,0.403,0.4019,43,6, finland approves bharat biotech s  covaxin,"['', 'finland', 'approves', 'bharat', 'biotech', 's', 'covaxin']","['', 'finland', 'approves', 'bharat', 'biotech', 'covaxin']","['', 'finland', 'approv', 'bharat', 'biotech', 'covaxin']"
24,RT @BharatBiotech: The Emergency Use Listing approval by WHO validates the international safety and quality standards of COVAXIN®. Bharat B…, the emergency use listing approval by who validates the international safety and quality standards of covaxin   bharat b ,0.0,0.0,positive,0.109,0.544,0.347,0.6908,122,18, the emergency use listing approval by who validates the international safety and quality standards of covaxin   bharat b ,"['', 'the', 'emergency', 'use', 'listing', 'approval', 'by', 'who', 'validates', 'the', 'international', 'safety', 'and', 'quality', 'standards', 'of', 'covaxin', 'bharat', 'b', '']","['', 'emergency', 'use', 'listing', 'approval', 'validates', 'international', 'safety', 'quality', 'standards', 'covaxin', 'bharat', 'b', '']","['', 'emerg', 'use', 'list', 'approv', 'valid', 'intern', 'safeti', 'qualiti', 'standard', 'covaxin', 'bharat', 'b', '']"
25,RT @mikalche: $OCGN I suspect we will have an FDA decision on EUA within 30days.  Pfizer applied nov20th and received dec11th Moderna submi…,  ocgn i suspect we will have an fda decision on eua within 30days   pfizer applied nov20th and received dec11th moderna submi ,0.0,0.0,negative,0.104,0.896,0.0,-0.296,127,21,  ocgn i suspect we will have an fda decision on eua within days   pfizer applied novth and received decth moderna submi ,"['', 'ocgn', 'i', 'suspect', 'we', 'will', 'have', 'an', 'fda', 'decision', 'on', 'eua', 'within', 'days', 'pfizer', 'applied', 'novth', 'and', 'received', 'decth', 'moderna', 'submi', '']","['', 'ocgn', 'suspect', 'fda', 'decision', 'eua', 'within', 'days', 'pfizer', 'applied', 'novth', 'received', 'decth', 'moderna', 'submi', '']","['', 'ocgn', 'suspect', 'fda', 'decis', 'eua', 'within', 'day', 'pfizer', 'appli', 'novth', 'receiv', 'decth', 'moderna', 'submi', '']"
26,RT @SatlokChannel: The #COVAXIN vaccine has been approved by WHO for emergency use on Wednesday 3rd November 2021. The approval came after…, the  covaxin vaccine has been approved by who for emergency use on wednesday 3rd november 2021  the approval came after ,0.0,0.0,positive,0.102,0.667,0.231,0.5106,121,20, the  covaxin vaccine has been approved by who for emergency use on wednesday rd november   the approval came after ,"['', 'the', 'covaxin', 'vaccine', 'has', 'been', 'approved', 'by', 'who', 'for', 'emergency', 'use', 'on', 'wednesday', 'rd', 'november', 'the', 'approval', 'came', 'after', '']","['', 'covaxin', 'vaccine', 'approved', 'emergency', 'use', 'wednesday', 'rd', 'november', 'approval', 'came', '']","['', 'covaxin', 'vaccin', 'approv', 'emerg', 'use', 'wednesday', 'rd', 'novemb', 'approv', 'came', '']"
27,@JhaSanjay Says a sycophant belonging to a party which thrived on twisted history by pushing 'चरखे से आजादी आई थी'… https://t.co/ua0jARw3NT,  says a sycophant belonging to a party which thrived on twisted history by pushing                         ,-0.5,1.0,positive,0.0,0.803,0.197,0.4019,108,14,  says a sycophant belonging to a party which thrived on twisted history by pushing                         ,"['', 'says', 'a', 'sycophant', 'belonging', 'to', 'a', 'party', 'which', 'thrived', 'on', 'twisted', 'history', 'by', 'pushing', '']","['', 'says', 'sycophant', 'belonging', 'party', 'thrived', 'twisted', 'history', 'pushing', '']","['', 'say', 'sycoph', 'belong', 'parti', 'thrive', 'twist', 'histori', 'push', '']"
28,"RT @aruna_dk: WHO has granted Emergency Use Listing (EUL) to the Made in India #COVAXIN

It is time for the world to experience India's sci…", who has granted emergency use listing  eul  to the made in india  covaxin  it is time for the world to experience india s sci ,0.0,0.0,negative,0.102,0.82,0.078,-0.1531,127,24, who has granted emergency use listing  eul  to the made in india  covaxin  it is time for the world to experience india s sci ,"['', 'who', 'has', 'granted', 'emergency', 'use', 'listing', 'eul', 'to', 'the', 'made', 'in', 'india', 'covaxin', 'it', 'is', 'time', 'for', 'the', 'world', 'to', 'experience', 'india', 's', 'sci', '']","['', 'granted', 'emergency', 'use', 'listing', 'eul', 'made', 'india', 'covaxin', 'time', 'world', 'experience', 'india', 'sci', '']","['', 'grant', 'emerg', 'use', 'list', 'eul', 'made', 'india', 'covaxin', 'time', 'world', 'experi', 'india', 'sci', '']"
29,RT @SatlokChannel: The #COVAXIN vaccine has been approved by WHO for emergency use on Wednesday 3rd November 2021. The approval came after…, the  covaxin vaccine has been approved by who for emergency use on wednesday 3rd november 2021  the approval came after ,0.0,0.0,positive,0.102,0.667,0.231,0.5106,121,20, the  covaxin vaccine has been approved by who for emergency use on wednesday rd november   the approval came after ,"['', 'the', 'covaxin', 'vaccine', 'has', 'been', 'approved', 'by', 'who', 'for', 'emergency', 'use', 'on', 'wednesday', 'rd', 'november', 'the', 'approval', 'came', 'after', '']","['', 'covaxin', 'vaccine', 'approved', 'emergency', 'use', 'wednesday', 'rd', 'november', 'approval', 'came', '']","['', 'covaxin', 'vaccin', 'approv', 'emerg', 'use', 'wednesday', 'rd', 'novemb', 'approv', 'came', '']"
30,RT @MeghBulletin: Finland approves Bharat Biotech's #Covaxin, finland approves bharat biotech s  covaxin,0.0,0.0,positive,0.0,0.597,0.403,0.4019,43,6, finland approves bharat biotech s  covaxin,"['', 'finland', 'approves', 'bharat', 'biotech', 's', 'covaxin']","['', 'finland', 'approves', 'bharat', 'biotech', 'covaxin']","['', 'finland', 'approv', 'bharat', 'biotech', 'covaxin']"
31,RT @SatlokChannel: The #COVAXIN vaccine has been approved by WHO for emergency use on Wednesday 3rd November 2021. The approval came after…, the  covaxin vaccine has been approved by who for emergency use on wednesday 3rd november 2021  the approval came after ,0.0,0.0,positive,0.102,0.667,0.231,0.5106,121,20, the  covaxin vaccine has been approved by who for emergency use on wednesday rd november   the approval came after ,"['', 'the', 'covaxin', 'vaccine', 'has', 'been', 'approved', 'by', 'who', 'for', 'emergency', 'use', 'on', 'wednesday', 'rd', 'november', 'the', 'approval', 'came', 'after', '']","['', 'covaxin', 'vaccine', 'approved', 'emergency', 'use', 'wednesday', 'rd', 'november', 'approval', 'came', '']","['', 'covaxin', 'vaccin', 'approv', 'emerg', 'use', 'wednesday', 'rd', 'novemb', 'approv', 'came', '']"
32,RT @MeghBulletin: Finland approves Bharat Biotech's #Covaxin, finland approves bharat biotech s  covaxin,0.0,0.0,positive,0.0,0.597,0.403,0.4019,43,6, finland approves bharat biotech s  covaxin,"['', 'finland', 'approves', 'bharat', 'biotech', 's', 'covaxin']","['', 'finland', 'approves', 'bharat', 'biotech', 'covaxin']","['', 'finland', 'approv', 'bharat', 'biotech', 'covaxin']"
33,"RT @mikalche: $OCGN This is why #COVAXIN will change the WORLD. #OCGN #vaccigen #OCUGEN #covaxinforkids 
Too few understand this. @manpreet…",  ocgn this is why  covaxin will change the world   ocgn  vaccigen  ocugen  covaxinforkids  too few understand this    ,-0.2,0.1,neutral,0.0,1.0,0.0,0.0,119,17,  ocgn this is why  covaxin will change the world   ocgn  vaccigen  ocugen  covaxinforkids  too few understand this    ,"['', 'ocgn', 'this', 'is', 'why', 'covaxin', 'will', 'change', 'the', 'world', 'ocgn', 'vaccigen', 'ocugen', 'covaxinforkids', 'too', 'few', 'understand', 'this', '']","['', 'ocgn', 'covaxin', 'change', 'world', 'ocgn', 'vaccigen', 'ocugen', 'covaxinforkids', 'understand', '']","['', 'ocgn', 'covaxin', 'chang', 'world', 'ocgn', 'vaccigen', 'ocugen', 'covaxinforkid', 'understand', '']"
34,RT @mikalche: $OCGN I suspect we will have an FDA decision on EUA within 30days.  Pfizer applied nov20th and received dec11th Moderna submi…,  ocgn i suspect we will have an fda decision on eua within 30days   pfizer applied nov20th and received dec11th moderna submi ,0.0,0.0,negative,0.104,0.896,0.0,-0.296,127,21,  ocgn i suspect we will have an fda decision on eua within days   pfizer applied novth and received decth moderna submi ,"['', 'ocgn', 'i', 'suspect', 'we', 'will', 'have', 'an', 'fda', 'decision', 'on', 'eua', 'within', 'days', 'pfizer', 'applied', 'novth', 'and', 'received', 'decth', 'moderna', 'submi', '']","['', 'ocgn', 'suspect', 'fda', 'decision', 'eua', 'within', 'days', 'pfizer', 'applied', 'novth', 'received', 'decth', 'moderna', 'submi', '']","['', 'ocgn', 'suspect', 'fda', 'decis', 'eua', 'within', 'day', 'pfizer', 'appli', 'novth', 'receiv', 'decth', 'moderna', 'submi', '']"
35,RT @SatlokChannel: The #COVAXIN vaccine has been approved by WHO for emergency use on Wednesday 3rd November 2021. The approval came after…, the  covaxin vaccine has been approved by who for emergency use on wednesday 3rd november 2021  the approval came after ,0.0,0.0,positive,0.102,0.667,0.231,0.5106,121,20, the  covaxin vaccine has been approved by who for emergency use on wednesday rd november   the approval came after ,"['', 'the', 'covaxin', 'vaccine', 'has', 'been', 'approved', 'by', 'who', 'for', 'emergency', 'use', 'on', 'wednesday', 'rd', 'november', 'the', 'approval', 'came', 'after', '']","['', 'covaxin', 'vaccine', 'approved', 'emergency', 'use', 'wednesday', 'rd', 'november', 'approval', 'came', '']","['', 'covaxin', 'vaccin', 'approv', 'emerg', 'use', 'wednesday', 'rd', 'novemb', 'approv', 'came', '']"
36,"RT @_dipskylark: #Covaxin is coming to Canada, who the fuck would sell $OCGN down HERE???",  covaxin is coming to canada  who the fuck would sell  ocgn down here   ,-0.2777777777777778,0.4444444444444444,negative,0.226,0.774,0.0,-0.5423,73,13,  covaxin is coming to canada  who the fuck would sell  ocgn down here   ,"['', 'covaxin', 'is', 'coming', 'to', 'canada', 'who', 'the', 'fuck', 'would', 'sell', 'ocgn', 'down', 'here', '']","['', 'covaxin', 'coming', 'canada', 'fuck', 'would', 'sell', 'ocgn', '']","['', 'covaxin', 'come', 'canada', 'fuck', 'would', 'sell', 'ocgn', '']"
37,"#Covaxin is coming to Canada, who the fuck would sell $OCGN down HERE???", covaxin is coming to canada  who the fuck would sell  ocgn down here   ,-0.2777777777777778,0.4444444444444444,negative,0.226,0.774,0.0,-0.5423,72,13, covaxin is coming to canada  who the fuck would sell  ocgn down here   ,"['', 'covaxin', 'is', 'coming', 'to', 'canada', 'who', 'the', 'fuck', 'would', 'sell', 'ocgn', 'down', 'here', '']","['', 'covaxin', 'coming', 'canada', 'fuck', 'would', 'sell', 'ocgn', '']","['', 'covaxin', 'come', 'canada', 'fuck', 'would', 'sell', 'ocgn', '']"
38,@indembkwt @MEAIndia @PIBCulture @indian_icn @IndianDiplomacy @AmbSibiGeorge @iccr_hq @DDNational I hope we will so… https://t.co/ENRLtIXCN5,        icn       hq   i hope we will so   ,0.0,0.0,positive,0.0,0.633,0.367,0.4404,43,7,        icn       hq   i hope we will so   ,"['', 'icn', 'hq', 'i', 'hope', 'we', 'will', 'so', '']","['', 'icn', 'hq', 'hope', '']","['', 'icn', 'hq', 'hope', '']"
